match_id,year,tournament_id,tournament_name,stage_name,knockout_stage,team_a_id,team_b_id,team_a_name,team_b_name,team_a_elo_pre,team_b_elo_pre,team_a_gf_avg,team_a_ga_avg,team_b_gf_avg,team_b_ga_avg,goals_a,goals_b,penalty_shootout,target,elo_diff,matches_played_diff,win_rate_diff,gf_avg_diff,ga_avg_diff,form_points_diff,experience_diff,host_advantage,h2h_played,h2h_a_win_rate,h2h_goal_diff_avg,same_confederation,team_a_conf,team_b_conf
M-1950-10,1950,WC-1950,1950 FIFA Men's World Cup,group stage,0,T-55,T-74,Paraguay,Sweden,1488.3116821303504,1519.1480089595093,0.5,1.5,3.0,2.5,2,2,0,1,-30.836326829158907,-4,0.0,-2.5,-1.0,0.30000000000000004,-2,0,0,,,0,CONMEBOL,UEFA
M-1950-11,1950,WC-1950,1950 FIFA Men's World Cup,group stage,0,T-87,T-09,Yugoslavia,Brazil,1568.9419489743323,1563.6769028995943,2.8,1.6,2.7777777777777777,1.8888888888888888,0,2,0,2,5.265046074737938,-4,0.24444444444444446,0.022222222222222143,-0.28888888888888875,0.3999999999999999,-2,-1,1,1.0,1.0,0,UEFA,CONMEBOL
M-1950-12,1950,WC-1950,1950 FIFA Men's World Cup,group stage,0,T-13,T-83,Chile,United States,1462.873435859433,1478.939067093706,1.0,1.4,1.6666666666666667,2.6666666666666665,5,2,0,0,-16.06563123427304,-1,-0.09999999999999998,-0.6666666666666667,-1.2666666666666666,0.0,-1,0,0,,,0,CONMEBOL,CONCACAF
M-1950-13,1950,WC-1950,1950 FIFA Men's World Cup,group stage,0,T-28,T-73,England,Spain,1507.3744458093329,1565.2174717287694,1.0,0.5,2.0,0.75,0,1,0,2,-57.84302591943651,-2,-0.25,-1.0,-0.25,-0.75,-1,0,0,,,1,UEFA,UEFA
M-1950-14,1950,WC-1950,1950 FIFA Men's World Cup,group stage,0,T-41,T-55,Italy,Paraguay,1648.195288397413,1490.0821174891707,2.6666666666666665,1.1111111111111112,1.0,1.6666666666666667,2,0,0,0,158.11317090824218,6,0.5555555555555556,1.6666666666666665,-0.5555555555555556,1.0666666666666667,1,0,0,,,0,UEFA,CONMEBOL
M-1950-15,1950,WC-1950,1950 FIFA Men's World Cup,group stage,0,T-84,T-07,Uruguay,Bolivia,1628.592346455612,1428.8113192524602,3.75,0.75,0.0,4.0,8,0,0,0,199.78102720315178,2,1.0,3.75,-3.25,3.0,0,0,0,,,1,CONMEBOL,CONMEBOL
M-1950-16,1950,WC-1950,1950 FIFA Men's World Cup,group stage,0,T-75,T-46,Switzerland,Mexico,1476.393776962688,1364.4763664617876,1.8333333333333333,2.3333333333333335,1.0,4.2,2,1,0,0,111.91741050090036,1,0.3333333333333333,0.8333333333333333,-1.8666666666666667,0.8,1,0,0,,,0,UEFA,CONCACAF
M-1950-17,1950,WC-1950,1950 FIFA Men's World Cup,final round,0,T-09,T-74,Brazil,Sweden,1594.1314887251497,1517.377573600689,2.7,1.7,2.857142857142857,2.4285714285714284,7,1,0,0,76.75391512446072,3,0.17142857142857143,-0.15714285714285703,-0.7285714285714284,0.6000000000000001,1,1,1,1.0,2.0,0,CONMEBOL,UEFA
M-1950-18,1950,WC-1950,1950 FIFA Men's World Cup,final round,0,T-84,T-73,Uruguay,Spain,1651.4382534265658,1581.91818592611,4.6,0.6,1.8,0.6,2,2,0,1,69.52006750045575,0,0.19999999999999996,2.8,0.0,0.6000000000000001,0,0,0,,,0,CONMEBOL,UEFA
M-1950-19,1950,WC-1950,1950 FIFA Men's World Cup,final round,0,T-73,T-09,Spain,Brazil,1585.8675151809591,1627.39239271407,1.8333333333333333,0.8333333333333334,3.090909090909091,1.6363636363636365,1,6,0,2,-41.52487753311084,-5,0.030303030303030276,-1.2575757575757576,-0.8030303030303031,-0.6000000000000001,-2,-1,1,1.0,2.0,0,UEFA,CONMEBOL
M-1950-20,1950,WC-1950,1950 FIFA Men's World Cup,final round,0,T-74,T-84,Sweden,Uruguay,1484.1166696117687,1647.4889241717167,2.625,3.0,4.166666666666667,0.8333333333333334,2,3,0,2,-163.37225455994803,2,-0.45833333333333337,-1.541666666666667,2.1666666666666665,-1.8,1,0,0,,,0,UEFA,CONMEBOL
M-1950-21,1950,WC-1950,1950 FIFA Men's World Cup,final round,0,T-73,T-74,Spain,Sweden,1550.6256091018422,1472.8842615353708,1.7142857142857142,1.5714285714285714,2.5555555555555554,3.0,1,3,0,2,77.7413475664714,-2,0.23809523809523808,-0.8412698412698412,-1.4285714285714286,1.2,-1,0,0,,,1,UEFA,UEFA
M-1950-22,1950,WC-1950,1950 FIFA Men's World Cup,final round,0,T-09,T-84,Brazil,Uruguay,1662.6342987931869,1658.7213322481145,3.3333333333333335,1.5833333333333333,4.0,1.0,1,2,0,2,3.9129665450723223,5,-0.19047619047619047,-0.6666666666666665,0.5833333333333333,0.0,2,1,0,,,1,CONMEBOL,CONMEBOL
M-1954-01,1954,WC-1954,1954 FIFA Men's World Cup,group stage,0,T-46,T-09,Mexico,Brazil,1350.7048938783646,1642.40905985547,1.0,3.8333333333333335,3.1538461538461537,1.6153846153846154,0,5,0,2,-291.7041659771055,-7,-0.6153846153846154,-2.1538461538461537,2.217948717948718,-2.0,-2,0,1,0.0,-4.0,0,CONCACAF,CONMEBOL
M-1954-02,1954,WC-1954,1954 FIFA Men's World Cup,group stage,0,T-87,T-30,Yugoslavia,France,1538.487363148777,1479.169981149003,2.3333333333333335,1.6666666666666667,1.6666666666666667,1.6666666666666667,1,0,0,0,59.31738199977394,0,0.3333333333333333,0.6666666666666667,0.0,1.2000000000000002,-1,0,0,,,1,UEFA,UEFA
